Year,Birth_rate,CO2_emissions,Death_rate,Electric_power_consumption,Energy_use,Food_exports,Food_imports,Goods_services_exports,Goods_services_imports,Population_density,GDP
1962-01-01,1.9780787571446072,-2.236549430316117,0.5977711894903008,-2.051830057675867,-2.774281610005382,3.127387106394481,2.818038127251332,0.038263340978256136,0.4342045153036728,-2.2698023610879363,-1.1239188512983151
1963-01-01,2.00740853814815,-1.830341221574705,0.40552681422946224,-1.9706767699751055,-2.5397571606614426,1.9417008705945344,2.1892067909107222,0.1317797830838967,1.069273711926876,-2.1125133852199287,-1.1166777794981526
1964-01-01,2.0431307073191327,-1.5899549939359514,-0.6518172497051413,-1.8829370820299463,-2.397472711628169,1.666460458189834,1.83189930561161,0.861352644562694,0.9295715246437012,-1.9566494510358912,-1.1081832014206943
1965-01-01,1.8351900804606802,-1.398536331186574,0.08191544920705059,-1.813789984511228,-2.2922237133772985,1.5835677549531444,1.9127099755644363,0.7528928534607916,0.045297959725317125,-1.8079107252716966,-1.1004409273235802
1966-01-01,1.7227592532804323,-1.2271498540737593,-0.22247147828927097,-1.7361887952175874,-2.200376051309707,1.484188105216339,1.8925694701300397,0.4340210676211982,0.5332779171716784,-1.6691472912952798,-1.0924814210724614
1967-01-01,1.7874351806215774,-1.1058438410523512,-0.07508412392263131,-1.666428425853025,-2.061151414117803,1.4067910508130206,1.6307428994828816,-0.2808494666193414,0.0587684661196511,-1.536440284475727,-1.0848242379112478
1968-01-01,1.6558271889390135,-0.6974098339068768,0.9470151378808213,-1.5491116124425721,-1.7744118620759841,0.9982811541990567,1.281889453501911,1.387262120527919,0.8819902197991986,-1.4129960486019697,-1.0804774258465095
1969-01-01,1.4644315667492267,-0.2366695642659322,1.6166663783727355,-1.414813441000668,-1.4121322723308916,0.8160088012255617,1.0988843670856636,1.6916726008872587,1.7490997523764151,-1.293826937780115,-1.0691987057153807
1970-01-01,1.2384418438885947,0.303086548719231,0.9502192108018335,-1.1835632628292756,-0.5892326593048421,0.7926522936837318,0.9163765770998951,1.4600506914451956,1.2517773469468865,-1.1953209313758038,-1.0525439068850615
1971-01-01,1.175270007880964,0.48671491705439085,1.0495454713532677,-1.135950369897574,-0.5557133267986899,0.8265421281561907,1.182181519190885,0.23662424781573568,-0.10200854568369133,-1.0966367947609956,-1.0338425876238488
1972-01-01,0.9485282393535736,0.8050040888353324,0.6970974500417294,-1.0025400488324938,-0.3341808172104753,0.766089990989102,0.9840088916450304,0.5075327038124876,0.7909556685213599,-0.976042642255176,-1.002021580806553
1973-01-01,0.7714214848321794,1.2512766688498698,1.014300669222111,-0.8443242754026795,0.009458441442455733,0.8201305378505899,0.9822683541383538,1.2607256975756993,1.184424814975216,-0.8615049169062203,-0.949920567599631
1974-01-01,0.7973670603353132,1.0431645180700237,0.6201996999373974,-0.7887729965664244,-0.10603826113567864,0.2888844839579916,0.33976136595957335,0.3224279936652407,-0.6416978663857225,-0.7549830510295868,-0.9195250842261277
1975-01-01,0.6420696301498876,0.7994395928251752,1.1905246798778775,-0.7869499066246886,-0.2770934705700662,0.5357307107236042,0.616506829521099,-2.285668449698508,-2.3657054186283215,-0.6530925706258498,-0.8738270805232342
1976-01-01,0.5800258626423925,1.4015180611240903,1.1905246798778775,-0.6128866311784097,0.10817628730997177,0.44505250497297083,0.35965322317873066,0.9112441484695692,1.2867572103257219,-0.5620680330623727,-0.8623399710216353
1977-01-01,0.45631435046078156,1.3202764193758074,0.5433019498330597,-0.5442120317409213,0.1348190391970185,0.49313943226497353,0.6719553815195002,-0.011869184686623067,-0.6310518210095553,-0.48119691749716786,-0.8182511870770959
1978-01-01,0.3912624002862575,1.6207592039242507,0.9021581169866224,-0.42327552064033974,0.3576095898907442,0.4913075493205157,0.534701566707315,-0.08441673384589567,-0.35621003731870604,-0.4047790571943651,-0.7332608586948959
1979-01-01,0.357796368115548,2.0369835054839425,0.6714648666736207,-0.3058883203475796,0.6233569136550134,0.3049134597219917,0.17615084033200476,0.2862747299646067,0.9193600117318671,-0.32889558752305303,-0.6310609719492996
1980-01-01,0.30740930844279457,1.6808557608339374,1.1328513672996299,-0.2693847075233743,0.4240448216270158,0.23575987856873107,-0.1493296734164567,-1.0747751374852674,-0.7331669501278943,-0.24855886258933632,-0.5513035692800096
1981-01-01,0.16752881442589743,1.0398258204639297,0.7675870543040371,-0.26013893754745365,0.18455004377977896,0.5329828863069183,-0.07995682136464566,-0.22228117942431397,-1.5296649572509402,-0.17659425754893565,-0.6254679947860494
1982-01-01,0.10398095558488747,0.7871977016028321,0.4728123455707521,-0.25385290112755454,0.05590148096640676,0.402003255778226,-0.01630287826334226,-1.1150257710719738,-0.9332691499534059,-0.12208641313714699,-0.6468730368242586
1983-01-01,-0.0005533920944068575,0.6224886197022051,1.0847902734844188,-0.17074271871869126,0.07340744279054892,0.244461322554903,-0.0195353050614553,-0.5833317729146472,-0.8774317282865695,-0.07630694903966309,-0.6637197073727846
1984-01-01,-0.03665158409876746,0.5345695827417345,0.5753426790431986,-0.04229083990722385,0.21305640232143036,0.1464555850264414,-0.09512436249425307,0.5673060997975363,0.22845339344182766,-0.03266504746813177,-0.6849065161871547
1985-01-01,-0.07312579893650661,0.7604881207540807,1.2930550133503238,0.08842038813631904,0.4534573962192474,0.02371942774780617,-0.16076749131747198,-0.22204015766630963,-0.18087618796019597,0.015430109365799095,-0.6678127482345725
1986-01-01,-0.114112287774791,0.7092947574606432,0.8284644398033025,0.16618813648809191,0.5495056362154084,0.12538893116518265,-0.008097487160439568,-1.0783904638553308,-0.07897832507402337,0.07047234440907589,-0.4720670566144087
1987-01-01,-0.14080990894468257,0.868439343351115,0.3766901579403356,0.27383058653035885,0.681770534138859,0.1226411067484967,-0.14808643234025917,-0.36737627774285914,0.45897286577067425,0.12729588155731403,-0.3005147202104337
1988-01-01,-0.13554558927738025,0.7048431606525186,0.3350372099671546,0.3606768489000951,0.7149593643206826,0.02921507658117809,-0.21149172722632323,-0.17504091485548537,0.4311627880533393,0.19106649691489813,-0.1972191625313889
1989-01-01,-0.23406357162261382,0.9530196827054898,0.3991186683874322,0.4290343589172893,0.7262859988164002,-0.06650080726671323,-0.45243184779336576,0.30507442708893634,0.5415340339940123,0.26356549258678696,-0.17622906393942403
