Year,Birth_rate,CO2_emissions,Death_rate,Electric_power_consumption,Energy_use,Food_exports,Food_imports,Goods_services_exports,Goods_services_imports,Population_density,GDP
1960-01-01,2.0095393342039634,-1.8856152152755914,0.11716025133820725,-1.968481303226973,-2.5705038274316645,2.245182811726283,2.279714741257888,0.3437985895416156,0.8110165839580833,-2.1129883991145855,-1.1162599440723875
1965-01-01,1.6931286540101858,-0.9331218848970988,0.46960827264974103,-1.636066451805016,-1.9480590626423369,1.2577673732814245,1.5633592331529864,0.7969998351755653,0.653686863038452,-1.5440642574849577,-1.0854845435738358
1970-01-01,0.986205727258125,0.7778493483057696,0.8662725002712678,-0.9910301907056894,-0.31514132460144606,0.6988598869275211,0.8809193416067476,0.7574722668628717,0.49669028367480966,-0.9768976672655565,-0.9915707454282444
1975-01-01,0.4854937223309735,1.4357953565466532,0.8995948586498116,-0.5346424821063878,0.18937367189653634,0.45402873140081124,0.4717935682517299,-0.23688709795937016,-0.22937001097979878,-0.4860064331805617,-0.7837480138532322
1980-01-01,0.10834282045208103,0.9329874970689278,0.8066767439404072,-0.19928202096485953,0.19019203829703618,0.3123325856470439,-0.0720498081200306,-0.48562155221973324,-0.7690158784353964,-0.13124230595664277,-0.6344541648900514
1985-01-01,-0.13953143131119486,0.7992170129847694,0.6464730978897097,0.2636300637944308,0.6251957859421196,0.046892746995190075,-0.19617499716757195,-0.30755467740620973,0.2343630349567613,0.13356606496677484,-0.36276855030604555
1990-01-01,-0.5045743979552912,0.13147749176601006,0.42987776842916736,0.3963993764006391,0.43431001059337254,-0.03938893968874552,-0.3917616832749361,-0.2758362140528534,-0.49586877135544744,0.44137506870393695,0.14279971251287424
1995-01-01,-0.903835442436854,-0.0608314903449922,0.019115619955178964,0.6347653199233649,0.6357850804136242,-0.6165236613399985,-0.640907194944881,0.4292488368127144,0.5930261310175153,0.6631115547294112,0.4036627277511724
2000-01-01,-1.0044591526490092,-0.08108625582196129,-1.049763106495073,1.0049948850399597,0.8172295771064715,-1.3990124610649075,-1.0843961516459928,0.02119900051155692,0.0035393899028813404,0.7168000001729182,0.5892039472792054
2005-01-01,-0.9042114652702328,-0.40026574696452855,-1.6578961469035218,1.1815915307294336,0.7396591889952864,-1.2970681752058624,-1.0823572362810292,-0.8150982954115126,-0.6679001739850239,1.1008487340023867,1.6033163865819398
2010-01-01,-1.0222826349511622,-1.4706521994782,-1.5002557591896362,1.0607287516303185,0.1737573304583326,-0.7649977739882576,-0.8162539163317526,-0.09020125603799714,-0.30576081820960316,1.350302280781045,1.788799210369649
